,ID,trial,image,choice,correct,point,reaction_time
0,Damian,1,00110tki.png,run,0,0,18.874323189347706
1,Damian,2,11111xxx.png,ask,0,0,5.605617708125465
2,Damian,3,10001iii.png,steal,0,0,13.97113882276335
3,Damian,4,00000iii.png,ask,0,0,9.725515512326638
4,Damian,5,01000iii.png,wave,1,10,1.869941978051429
5,Damian,6,01110txt.png,ask,1,20,6.443725295686818
6,Damian,7,00001iii.png,wave,1,30,1.5083531477985161
7,Damian,8,10100kti.png,ask,0,28,8.026500600811232
8,Damian,9,01111txx.png,steal,0,26,5.673580975887489
9,Damian,10,00111tkx.png,steal,0,24,4.848193138745955
10,Damian,11,10000iii.png,run,0,22,5.390796905557181
11,Damian,12,00010tki.png,run,0,20,1.1083671535752728
12,Damian,13,10011tkk.png,ask,1,30,2.370698150912176
13,Damian,14,11011txx.png,ask,1,40,8.114278333758193
14,Damian,15,11100ktt.png,run,1,50,6.285820355959913
15,Damian,16,11000iti.png,steal,0,48,3.629373733045213
16,Damian,17,00011tkk.png,ask,1,58,1.7448606448315331
17,Damian,18,11010txt.png,run,0,56,14.593556507515132
18,Damian,19,11110xxt.png,steal,1,66,1.442093297957399
19,Damian,20,10111xxx.png,ask,0,64,19.501024230458825
20,Damian,21,01100iti.png,ask,0,62,2.117957864870732
21,Damian,22,10010tki.png,wave,0,60,8.775076486849684
22,Damian,23,01101itt.png,wave,1,70,13.170674313264499
23,Damian,24,10110xxt.png,run,0,68,1.6827357457596008
24,Damian,25,00100iii.png,ask,0,66,1.592418885909865
25,Damian,26,11101ktt.png,ask,0,64,4.471514706297967
26,Damian,27,11001itt.png,ask,0,62,23.007847409371607
27,Damian,28,10101ktt.png,run,1,72,1.8449333171947728
28,Damian,29,01001iii.png,wave,1,82,4.263762647517979
29,Damian,30,01011tkk.png,ask,1,92,3.4650790051073272
30,Damian,31,00101iii.png,run,0,90,6.0679901662751945
31,Damian,32,01010tki.png,steal,0,88,4.513617372358567
32,Damian,33,00010tki.png,ask,1,98,2.5993466443878788
33,Damian,34,10000iii.png,wave,1,108,9.381121324816377
34,Damian,35,00100iii.png,run,0,106,2.2173752337967017
35,Damian,36,10111xxx.png,steal,1,116,7.766777831729996
36,Damian,37,00001iii.png,wave,1,126,1.9643998176461537
37,Damian,38,00110tki.png,ask,1,136,3.720379751355722
38,Damian,39,01011tkk.png,ask,1,146,2.8288892815453437
39,Damian,40,00111tkx.png,ask,1,156,1.7845475461372189
